Cores,Frequency,L2cache,FSB,Mult.,Voltage,TDP,Socket,Partnumber(s),GPUfrequency,I/O bus,Memory,Burst,GPUmodel,Connectivity,SDP,Model Number,Front Side Bus,Multiplier,Mult,L2 Cache,Turbo,L3cache,Turbo Boostall-core/2.0(/max. 3.0),Atom (ULV),Atom (ULV).1,Unnamed: 2,Feature size,Unnamed: 4,x86,x86.1,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Base / Boost / TVB Clocks (GHz),GPU EU,GPU Max freq,Price,Model number,Clock speed,Cache,Cache.1,FSB speed,Threadsper core,TDP (W),Cache.2,Price (USD),Clock speed.1,QuickPath,Freq. (GHz),FSB (MHz),Voltage (V),Freq.,Power,Power.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Freq. (MHz),L1cache,Model numberClock speed,sSpec number,Front-side bus,Clock multiplier,Voltage range,Part number(s),Core stepping,64-bit,FrqGHz,FSBMT/s,VT-x,P-core (performance),P-core (performance).1,P-core (performance).2,P-core (performance).3,E-core (efficiency),E-core (efficiency).1,E-core (efficiency).2,E-core (efficiency).3
2.0,2.1,0.512,,,,35.0,171.0,FF8062700853009 FF8062701084601,650–1100 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2,0.512,,,,35.0,151.0,FF8062701275100,650–1100 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2,0.512,,,,35.0,152.0,FF8062700846606 AV8062700846806,650–1100 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2,0.512,,,,35.0,171.0,FF8062701084501,650–1100 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.3,0.512,,,,35.0,151.0,FF8062701275200,650–1150 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.3,0.512,,,,35.0,156.0,FF8062700995905 FF8062700995906 AV8062700996106,650–1150 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.4,0.512,,,,35.0,152.0,FF8062700996006 AV8062700996206,650–1150 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,175.0,"Standard power, embedded","Standard power, embedded",81.0,,,82.0,,,,,,,,"Standard power, embedded",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.1,0.512,,,,35.0,15.0,AV8062700849116,650–1050 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2,0.512,,,,35.0,151.0,FF8062700849000,650–1050 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,185.0,Ultra-low power,Ultra-low power,88.0,,,108.0,,,,,,,,Ultra-low power,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.3,0.512,,,,17.0,15.0,AV8062701047703,350–950 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.4,0.512,,,,17.0,15.0,AV8062701313000,350–1000 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.4,0.512,,,,17.0,15.0,AV8062701047904,350–1000 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.5,0.512,,,,17.0,15.0,AV8062701313100,350–1000 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.5,0.512,,,,17.0,15.0,AV8062701048004,350–1000 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,187.0,"Ultra-low power, embedded","Ultra-low power, embedded",90.0,,,110.0,,,,,,,,"Ultra-low power, embedded",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.3,0.512,,,,17.0,15.0,AV8062700849710,350–800 MHz,40.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.4,0.512,,,,35.0,156.0,AW8063801032700 AW8063801211101 AV8063801032800,650–1000 MHz,40.0,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,0.512,,,,35.0,155.0,AW8063801111700 AW8063801112300,650–1100 MHz,40.0,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.6,0.512,,,,35.0,152.0,AW8063801111500 AV8063801111900,650–1100 MHz,40.0,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.4,0.512,,,,35.0,157.0,AW8063801117901 AW8063801117902 AV8063801117300 AV8063801117301,650–900 MHz,40.0,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.8,0.512,,,,17.0,15.0,AV8063801058401,350–1050 MHz,40.0,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.9,0.512,,,,17.0,15.0,AV8063801119500,350–1100 MHz,40.0,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,0.512,,,,17.0,16.0,AV8063801149500 AV8063801149502,350–900 MHz,40.0,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.4,0.512,,,,13.0,15.0,AV8063801378000,350–850 MHz,40.0,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.4,0.512,,,,37.0,158.0,CW8064701486802,400–1100 MHz,40.0,,,17.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,0.512,,,,37.0,158.0,CW8064701486806,400–1100 MHz,40.0,,,17.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,0.512,,,,37.0,158.0,CW8064701486707,400–1100 MHz,40.0,,,17.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.6,0.512,,,,37.0,158.0,CW8064701486708,400–1100 MHz,40.0,,,17.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,0.512,,,,28.0,17.0,CL8064701526902,200–1100 MHz,40.0,,,48.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.7,0.512,,,,15.0,17.0,CL8064701478404,200–950 MHz,40.0,,,16.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.7,0.512,,,,15.0,17.0,CL8064701478202,200–1000 MHz,40.0,,,16.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.9,0.512,,,,15.0,17.0,CL8064701553401,200–950 MHz,40.0,,,16.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.9,0.512,,,,15.0,17.0,CL8064701552900,200–1000 MHz,40.0,,,16.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.8,0.512,,,,15.0,17.0,CL8064701476302,200–1000 MHz,40.0,,,16.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,0.512,,,,15.0,17.0,CL8064701553300,200–1000 MHz,40.0,,,16.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.3,0.512,,,,11.0,17.0,CL8064701512503,200–850 MHz,40.0,,,15.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.5,0.512,,,,11.0,17.0,CL8064701573500,200–850 MHz,40.0,,,15.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.5,0.512,,,,11.0,17.0,CL8064701512402,200–850 MHz,40.0,,,15.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,0.512,,,,11.0,17.0,CL8064701570500,200–850 MHz,40.0,,,15.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.4,0.512,,,,37.0,22.0,CL8064701484002,400-900 MHz,40.0,,,17.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.6,0.512,,,,37.0,22.0,CL8064701589005,400-900 MHz,40.0,,,17.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,0.512,,,,25.0,22.0,CL8064701528601,400-900 MHz,40.0,,,17.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.8,0.512,,,,25.0,22.0,CL8064701588505,400-900 MHz,40.0,,,17.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,0.512,,,,28.0,17.0,FH8065802064212,300–1000 MHz,40.0,,,51.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,0.512,,,,15.0,17.0,FH8065801884006,300–850 MHz,40.0,,,26.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.1,0.512,,,,15.0,17.0,FH8065801620406,300–900 MHz,40.0,,,26.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.1,0.512,,,,15.0,17.0,FH8065801884007,300–850 MHz,40.0,,,26.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2,0.512,,,,15.0,17.0,FH8065801620407,300–900 MHz,40.0,,,26.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.7,0.512,,,,35.0,5.0,CL8066202194634,350-900 MHz,41.0,,,24.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.7,0.512,,,,35.0,5.0,CL8066201939604,350-950 MHz,41.0,,,24.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.9,0.512,,,,25.0,5.0,CL8066202400105,350-950 MHz,41.0,,,24.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,0.512,,,,28.0,3.0,FJ8066202498907,300–1000 MHz,41.0,,,50.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.7,0.512,,,,28.0,3.0,FJ8066202498901,300–1000 MHz,41.0,,,50.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,0.512,,,,15.0,3.0,FJ8066201931106 FJ8066202498906,300–900 MHz,41.0,,,23.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.3,0.512,,,,15.0,3.0,FJ8066201931104,300–1000 MHz,41.0,,,23.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,0.512,,,,35.0,5.0,CL8067702870511,350–950 MHz,41.0,,,32.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.9,0.512,,,,35.0,5.0,CL8067702999007,350–950 MHz,41.0,,,32.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.1,0.512,,,,25.0,5.0,CL8067702999106,350–950 MHz,41.0,,,32.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.8,0.512,,,,28.0,3.0,FH8067703022715,300–1000 MHz,41.0,,,56.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.3,0.512,,,,15.0,3.0,FJ8067702739769 FH8067703037315 FJ8067703282620,300–1000 MHz,41.0,,,31.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,0.512,,,,15.0,3.0,FJ8067702739738,300–1000 MHz,41.0,,,31.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.7,0.512,,,,15.0,3.0,FJ8067702739765,300–1000 MHz,41.0,,,31.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2,0.512,,,,15.0,3.0,FJ8067703282227,300–1000 MHz,41.0,,,101.0,,,,,,,,3.4 GHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.3,0.512,,,,5.0,7.0,,300–1000 MHz,41.0,,,99.0,,,,,,,,3.9 GHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.6,1.024,,,,65.0,5.0,CL8068404111901,350–1050 MHz,41.0,,,102.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.024,,,,45.0,5.0,CL8068403359228,350–1000 MHz,41.0,,,102.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,0.512,,,,28.0,9.0,FH8068403419422 FH8068403419433,300–1050 MHz,41.0,,,57.0,,,,,,,,3.6 GHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.1,0.512,,,,15.0,9.0,FH8068404208005,300–1000 MHz,41.0,,,31.0,,,,,,,,3.9 GHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,185.0,Ultra-low power,Ultra-low power,88.0,,,108.0,,,,,,,,Ultra-low power,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.1,0.512,,,,15.0,9.0,FJ8068404064702 FJ8068404064702 CL8068404064708 CL8068404064708,300–1000 MHz,41.0,,,101.0,,,,,,,,3.9 GHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,187.0,"Ultra-low power, embedded","Ultra-low power, embedded",90.0,,,110.0,,,,,,,,"Ultra-low power, embedded",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2,0.512,,,,15.0,9.0,CL8068404149204,300–1000 MHz,41.0,,,101.0,,,,,,,,3.9 GHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,0.512,,,,7.0,4.0,FJ8068404190521,300–1000 MHz,41.0,,,101.0,,,,,,,,27/30,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2,0.512,,,,15.0,9.0,,,41.0,,,32.0,,,,,,,,9/10,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.1,0.512,,,,15.0,9.0,FJ8070104325802 FJ8070104307606 FJ8070104500300,300–1000 MHz,41.0,,,101.0,,,,,,,,16/20,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.2,1.024,,,,15.0,8.0,FJ8068904312504 FJ8068904310007,300–900 MHz,94.0,,,95.0,,,,,,,,22/22,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.1,1.024,,,,9.0,4.0,,300–900 MHz,94.0,,,95.0,,,,,,,,21/21,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.1,1.024,,,,9.0,4.0,,300–900 MHz,94.0,,,52.0,,,,,,,,21/21,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.1,1.024,,,,9.0,78.0,,300–900 MHz,94.0,,,52.0,,,,,,,,3.2 GHz,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.9,5.0,,,,35.0,78.0,FH8069004638051,350–1250 MHz,94.0,2× DDR4-3200,,88.0,,,,,,,,4.4 GHz,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.7,2.5,,,,15.0,78.0,FH8069004531502 FH8069004531602,?–1250 MHz,94.0,2× DDR4-32002× LPDDR4X-3733,,94.0,,,,,,,,4.1 GHz,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.9,5.0,,,,15.0,78.0,FH8069004531506,?–1250 MHz,94.0,2× DDR4-32002× LPDDR4X-3733,,94.0,,,,,,,,3.7 GHz,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2,2.5,,,,15.0,78.0,FH8069004542300,?–1250 MHz,94.0,2× DDR4-32002× LPDDR4X-3733,,94.0,,,,,,,,3.9 GHz,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2,2.5,,,,15.0,78.0,FH8069004542400,?–1250 MHz,94.0,2× DDR4-32002× LPDDR4X-3733,,94.0,,,,,,,,3.9 GHz,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.8,2.5,,,,7.0,78.0,FH8069004532502,?–1100 MHz,94.0,2× LPDDR4X-4266,,93.0,,,,,,,,3.9 GHz,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.8,5.0,,,,7.0,78.0,FH8069004532506,?–1100 MHz,94.0,2× LPDDR4X-4266,,93.0,,,,,,,,3.5 GHz,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,119.0,Partnumber(s),GPUfrequency,57.0,,,3.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base,MaxTurbo,,,,,,,,,,,,,,,,,Cores(threads),Freq.,Turbo,L2cache,Cores(threads),Freq.,Turbo,L2cache
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,38.0,Embedded,Embedded,52.0,,,2.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embedded,Embedded,,,,,,,,,,,,,,,,,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,10.0,FJ8071504798008,?–1150 MHz,43.0,,,106.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 W,115 W,,,,,,,,,,,,,,,,,4 (8),1.9 GHz,4.3 GHz,4 × 1.25 MB,4 (4),1.5 GHz,3.3 GHz,1 × 2 MB
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,173.0,Standard power,,79.0,Standard power,,32.0,,,,,,,,Standard power,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,0.512,,,,25.0,20.0,AV8062701064700,,40.0,2 × DDR3-1333,,32.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,0.512,,,,25.0,20.0,CN8063801307703,,40.0,2 × DDR3-1333,,32.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,Standard power,Standard power,66.03544956493715,173.0,Standard power,,79.0,Standard power,,32.0,,,,,,,,Standard power,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.67,1.024,,20×,0.65–1.4 V,95.0,70.0,BX80605I5750 BV80605001911AP,,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/1/4/4[Note 1],8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.8,1.024,,21×,0.65–1.4 V,95.0,70.0,BX80605I5760 BV80605001908AN,,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/1/4/4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,Low power,Low power,66.03544956493715,87.0,Low power,,61.0,Low power,,32.0,,,,,,,,Low power,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.4,1.024,,18×,0.65–1.4 V,82.0,70.0,BX80605I5750S BV80605003213AH,,39.0,2 × DDR3-1333,,32.0,,,,,,,,0/0/6/6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,3.2,0.512,,24×,0.65–1.4 V,73.0,70.0,CM80616003174AH BX80616I5650,733 MHz,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/2[Note 1],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,3.2,0.512,,24×,0.65–1.4 V,73.0,70.0,CM80616003174AO BX80616I5655K,733 MHz,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,3.33,0.512,,25×,0.65–1.4 V,73.0,70.0,CM80616003177AC BX80616I5660,733 MHz,39.0,2 × DDR3-1333,,32.0,,,,,,,,1/2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
